pagina,visual_name,visual_tipo,query_refs,filtros_visual,posicion
Comunidad,273213a559b911a27f2a,clusteredBarChart,Hecho_Participacion_General.bloque_comunidad | _Medidas.GenF_Total_Actividades | _Medidas.GenF_Total_Participaciones,,"x=200.41698308595096,y=399.2433551950293,z=8000"
Comunidad,45c3d654cb3f6b11f952,columnChart,Hecho_Demografia.categoria | Hecho_Demografia.dimension | _Medidas.Total_Dem_Valor,"[{""Condition"": {""In"": {""Expressions"": [{""Column"": {""Expression"": {""SourceRef"": {""Source"": ""d""}}, ""Property"": ""instancia""}}], ""Values"": [[{""Literal"": {""Value"": ""'Comunitario'""}}]]}}}]","x=709.387092551381,y=399.3318497185495,z=9000"
Comunidad,d9722adc070eb12110b8,card,_Medidas.Num_Comites_Comisiones,,"x=718.9561615464273,y=97.02726958923023,z=10000"
Comunidad,e48912e0ed7bc5aef175,card,Dim_SATC.Total_SATC_Unicos,,"x=1077.3514857965702,y=96.51525068726272,z=11000"
Comunidad,afaa770783f14dfd7983,card,Dim_Semilleros.Total_Semilleros,,"x=925.7355885398688,y=97.02726958923023,z=12000"
Comunidad,cbd47fee150acaeb3388,pageNavigator,,,"x=3.1812219537452533,y=399.2433551950293,z=13000"
Comunidad,25ffe04cf38ba9746e2e,lineChart,Dim_Fecha.anio | Dim_Fecha.mes_nombre | _Medidas.GenF_Total_Actividades,,"x=451.2087969629532,y=195.44338264170702,z=14000"
Comunidad,cfc6e2a26dc21e26d9ae,actionButton,,,"x=1096.6545359340228,y=16.890168870270976,z=16000"
Comunidad,71ae8d69b7209593f99c,actionButton,,,"x=1185.9311428197407,y=15.683728236680192,z=15000"
Comunidad,b731cd48dffb66e799eb,tableEx,Dim_Comites_Comisiones_2026.comite_comision_etiqueta,,"x=709.9687156506299,y=400.0067641836476,z=17000"
Comunidad,7aa92dc834c2f4d0133c,bookmarkNavigator,,,"x=845.9224740521076,y=154.72428157876158,z=17001"
Comunidad,c58bd908deeaa6f100c8,bookmarkNavigator,,,"x=1013.6609475393632,y=159.06234554825954,z=17002"
Comunidad,3431ea0470d704ff86c9,tableEx,Dim_Semilleros_Confiable.semillero_nombre,,"x=709.9687156506299,y=400.0067641836476,z=17003"
Comunidad,30a5bec56ddc30ec0537,bookmarkNavigator,,,"x=1212.141709647417,y=155.84679124038217,z=17004"
Comunidad,9922c1983b7be52a0c94,tableEx,Dim_SATC.SATC_Nombre,,"x=709.9687156506299,y=400.0067641836476,z=17005"
Educación,f827b6f42911f0fef556,textbox,,,"x=0,y=0,z=0"
Educación,e4e79bbb890679cb57c9,image,,,"x=0,y=0,z=1000"
