id_actividad,fila_origen,fecha,comuna_cod,publico_empresarial,entidades_asociadas,actividad_empresarial
1670,1671,2025-04-08,10,Varios COawvrd,Comités Sectoriales de Gestión del Riesgo de Desastres (COSEGRD);,Taller - Plan de Gestión del Riesgo de Desastres Empresas Públicas y Privadas (decreto 2157/2017)
1745,1746,2025-04-23,10,Empresas,AMVA;Subdirección de Manejo;,Socialización de la PPTGRD
1757,1758,2025-04-24,4,Prestadores de Servicios de Salud,,Asesoría en ejercicios de evaluación de preparativos para la respuesta
1764,1765,2025-04-25,10,Empresas,Subdirección de Manejo;Cuerpo Oficial de Bomberos Medellín COBM;,Asesoría en ejercicios de evaluación de preparativos para la respuesta
1844,1845,2025-05-08,10,Empresas,Comfama;,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
1876,1877,2025-05-14,10,Empresas,Comerciantes del Centro;,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
1882,1883,2025-05-15,99,Empresas,Empresas privadas;,Asesoría en ejercicios de evaluación de preparativos para la respuesta
1957,1958,2025-05-27,15,Empresas,ESTRA;,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
1967,1968,2025-05-28,4,Prestadores de Servicios de Salud,Equipo técnico;Empresas sector público;Subdirección de Manejo;,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
1968,1969,2025-05-28,14,Empresas,,Taller - Plan de Gestión del Riesgo de Desastres Empresas Públicas y Privadas (decreto 2157/2017)
2047,2048,2025-06-11,10,Empresas,Comerciantes del Centro;,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
2073,2074,2025-06-14,16,Empresas,Empresas privadas;AUNA;,Asesoría en ejercicios de evaluación de preparativos para la respuesta
2157,2158,2025-07-03,11,Empresas,,Acompañamiento en la creación de COSEGRD
2304,2305,2025-07-21,99,Empresas,Cuerpo Oficial de Bomberos Medellín COBM;,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
2328,2329,2025-07-23,99,Asesor SURA,,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
2395,2396,2025-07-31,99,Empresas,,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
2459,2460,2025-08-12,99,Prpyecto CAH,,Asesoría general al COSEGRD
2584,2585,2025-08-29,9,Prestadores de Servicios Públicos,,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
2690,2691,2025-09-15,99,Prestadores del servicio de aseo,,Taller - ABC Gestión del Riesgo de Desastres
2759,2760,2025-09-24,16,Prestadores de Servicios Públicos,Metro de Medellín;,Taller - Cambio climático y GRD
2835,2836,2025-10-08,15,Empresas,,Asesoría en ejercicios de evaluación de preparativos para la respuesta
2846,2847,2025-10-09,10,Prestadores de Servicios Públicos,Policia;,Asesoría en ejercicios de evaluación de preparativos para la respuesta
2859,2860,2025-10-14,9,Empresas,Centro Comercial la Central;,"Asesoría a los sectores comercial, industrial y de servicios en GRD"
2884,2885,2025-10-17,9,Empresas,Cuerpo Oficial de Bomberos Medellín COBM;Centro Comercial;,Acompañamiento en ejercicios de simulaciones y simulacros (invitado como observador o evaluador)
2918,2919,2025-10-22,10,Empresas,Comando de Policía del AMVA;,Acompañamiento en ejercicios de simulaciones y simulacros (invitado como observador o evaluador)
2921,2922,2025-10-22,16,Prestadores de Servicios Públicos,,Acompañamiento en ejercicios de simulaciones y simulacros (invitado como observador o evaluador)
2960,2961,2025-10-29,13,Establecimientos comerciales,Comunidad en general;,Taller - ABC Gestión del Riesgo de Desastres
2975,2976,2025-10-30,10,Empresas,,Acompañamiento en ejercicios de simulaciones y simulacros (invitado como observador o evaluador)
