pagina,visual_name,visual_tipo,query_ref,agregacion,columna_excel_o_modelo,filtro_columnas,filtro_valores
Educación,cb791f469874fcf3c837,card,_Medidas.Impacto_Indirecto_Educacion,,_Medidas.Impacto_Indirecto_Educacion,,
Educación,66a7f3006f132509d6e1,card,_Medidas.GenF_Total_Participaciones,,_Medidas.GenF_Total_Participaciones,,
Educación,a7b4bc015e5eda91e9b9,card,_Medidas.GenF_Total_Actividades,,_Medidas.GenF_Total_Actividades,,
Educación,b41f14860061b12260e1,slicer,Dim_Fecha.anio,,Dim_Fecha.anio,anio,
Educación,37277ea7f8b0187572cb,slicer,Dim_Fecha.mes_nombre,,Dim_Fecha.mes_nombre,mes_nombre,
Educación,9d75697414e67ff1f2d6,clusteredBarChart,Hecho_Participacion_General.bloque_educacion,,Hecho_Participacion_General.bloque_educacion,,
Educación,9d75697414e67ff1f2d6,clusteredBarChart,_Medidas.GenF_Total_Actividades,,_Medidas.GenF_Total_Actividades,,
Educación,9d75697414e67ff1f2d6,clusteredBarChart,_Medidas.GenF_Total_Participaciones,,_Medidas.GenF_Total_Participaciones,,
Educación,e2b0618f21f68386bebf,card,_Medidas.GenF_Edu_Instituciones_Unicas,,_Medidas.GenF_Edu_Instituciones_Unicas,,
Educación,05f3f0e2104e823216a1,columnChart,Hecho_Demografia.categoria,,Hecho_Demografia.categoria,,
Educación,05f3f0e2104e823216a1,columnChart,Hecho_Demografia.dimension,,Hecho_Demografia.dimension,,
Educación,05f3f0e2104e823216a1,columnChart,_Medidas.Total_Dem_Valor,,_Medidas.Total_Dem_Valor,,
Educación,4d74d209093ceadc1ca3,pageNavigator,,,,,
Educación,fd67d53cce5c9cc67ea9,lineChart,Dim_Fecha.anio,,Dim_Fecha.anio,,
Educación,fd67d53cce5c9cc67ea9,lineChart,Dim_Fecha.mes_nombre,,Dim_Fecha.mes_nombre,,
Educación,fd67d53cce5c9cc67ea9,lineChart,_Medidas.GenF_Total_Actividades,,_Medidas.GenF_Total_Actividades,,
Educación,0924d594b434a8e69d06,slicer,Dim_Comuna.comuna_cod,,Dim_Comuna.comuna_cod,comuna_cod,
Educación,0d0f33856922e488508a,card,_Medidas.GenF_Edu_Instituciones_Media,,_Medidas.GenF_Edu_Instituciones_Media,,
Educación,6246f0631ebcefc1e842,card,_Medidas.GenF_Edu_Instituciones_Superior,,_Medidas.GenF_Edu_Instituciones_Superior,,
Educación,2c3ea669acf78efe6138,card,_Medidas.GenF_Edu_Instituciones_PrimeraInfancia,,_Medidas.GenF_Edu_Instituciones_PrimeraInfancia,,
Educación,1128ea736bcab895d2af,actionButton,,,,,
Educación,75e577bbdcb7e76c9eaa,actionButton,,,,,
Empresarial,231f81e78deca6d87862,textbox,,,,,
Empresarial,14a8b8c863e03a6dc693,image,,,,,
Empresarial,e0a1f0d8d02d8997ca83,slicer,Dim_Comuna.comuna_cod,,Dim_Comuna.comuna_cod,comuna_cod,
Empresarial,84c6d8b36344d1601da8,slicer,Dim_Fecha.anio,,Dim_Fecha.anio,anio,
Empresarial,06f7d5dc05f812ff288a,slicer,Dim_Fecha.mes_nombre,,Dim_Fecha.mes_nombre,mes_nombre,
Empresarial,d32e3345eb3a8689fe7a,card,_Medidas.GenF_Total_Participaciones,,_Medidas.GenF_Total_Participaciones,,
Empresarial,f23a515d0793e03aa52a,card,_Medidas.GenF_Total_Actividades,,_Medidas.GenF_Total_Actividades,,
Empresarial,2c51af385dac1116c1bb,card,_Medidas.Actividades_CAM,,_Medidas.Actividades_CAM,,
Empresarial,41d55dfdb1540481e40f,card,_Medidas.Actividades_Empresa,,_Medidas.Actividades_Empresa,,
Empresarial,217343a3c7552949f793,card,_Medidas.Actividades_PlanesAyudaMutua,,_Medidas.Actividades_PlanesAyudaMutua,,
Empresarial,1db2cc26773b59b1073e,card,_Medidas.Actividades_PropiedadHorizontal,,_Medidas.Actividades_PropiedadHorizontal,,
Empresarial,35194e799b0e987e931b,pieChart,Hecho_Participacion_General.bloque_empresarial,,Hecho_Participacion_General.bloque_empresarial,,
Empresarial,35194e799b0e987e931b,pieChart,_Medidas.GenF_Empresarial_Participaciones,,_Medidas.GenF_Empresarial_Participaciones,,
Empresarial,769bb2a854f19bc072db,pageNavigator,,,,,
Empresarial,c6d514c2077b89c199b7,lineChart,Dim_Fecha.anio,,Dim_Fecha.anio,,
Empresarial,c6d514c2077b89c199b7,lineChart,Dim_Fecha.mes_nombre,,Dim_Fecha.mes_nombre,,
Empresarial,c6d514c2077b89c199b7,lineChart,_Medidas.GenF_Total_Actividades,,_Medidas.GenF_Total_Actividades,,
Empresarial,dcf319470f6ec368fc1a,actionButton,,,,,
Empresarial,b015745a1e48da38fb3f,actionButton,,,,,
Institucional,c3e4af7fbc3819ab1d26,textbox,,,,,
Institucional,cc8a16c909be245ce9cf,image,,,,,
Institucional,cf68707afa43986b151f,card,_Medidas.GenF_Total_Actividades,,_Medidas.GenF_Total_Actividades,,
Institucional,c306f3ede08720cb0531,slicer,Dim_Fecha.mes_nombre,,Dim_Fecha.mes_nombre,mes_nombre,
Institucional,71feb95df17cc18bf047,slicer,Dim_Fecha.anio,,Dim_Fecha.anio,anio,
Institucional,b1dce87ead61c1342ba5,slicer,Dim_Comuna.comuna_cod,,Dim_Comuna.comuna_cod,comuna_cod,
Institucional,9a36277075788e806023,card,_Medidas.Actividades_ArticulacionInstitucional,,_Medidas.Actividades_ArticulacionInstitucional,,
Institucional,1f392cd48aa1eef53112,card,_Medidas.Participantes_Articulacion,,_Medidas.Participantes_Articulacion,,
Institucional,aabff877b3de1eaa00d3,card,_Medidas.Participantes_Mesas,,_Medidas.Participantes_Mesas,,
Institucional,59d653d9bbcfde9f644a,card,_Medidas.Mesas_Interinstitucionalidad,,_Medidas.Mesas_Interinstitucionalidad,,
Institucional,70751c8643c11daa4371,donutChart,Hecho_Participacion_General.bloque_institucional,,Hecho_Participacion_General.bloque_institucional,,
Institucional,70751c8643c11daa4371,donutChart,_Medidas.GenF_Institucional_Participaciones,,_Medidas.GenF_Institucional_Participaciones,,
Institucional,c8aa564f9b3a4336a293,card,_Medidas.GenF_Institucional_Participaciones,,_Medidas.GenF_Institucional_Participaciones,,
Institucional,59ed4f6735acd3268264,lineChart,Dim_Fecha.anio,,Dim_Fecha.anio,grupo_ambito_comparacion,Externa | Interna + PDL y PP
Institucional,59ed4f6735acd3268264,lineChart,Hecho_Participacion_General.fecha.Variación.Jerarquía de fechas.Mes,,Hecho_Participacion_General.fecha.Variación.Jerarquía de fechas.Mes,grupo_ambito_comparacion,Externa | Interna + PDL y PP
Institucional,59ed4f6735acd3268264,lineChart,_Medidas.GenF_Total_Participaciones,,_Medidas.GenF_Total_Participaciones,grupo_ambito_comparacion,Externa | Interna + PDL y PP
Institucional,d50efb7f7f7aa39b77ea,pageNavigator,,,,,
